department,institution,ancmNo,ancmDate,period,title,link,bsnsTitle#1,bsnsTitle#2,bsnsTitle#3,bsnsTitle#4,bsnsTitle#5,bsnsTitle#6,bsnsTitle#7,bsnsTitle#8,bsnsTitle#9,bsnsTitle#10,bsnsTitle#11,bsnsTitle#12,bsnsTitle#13,bsnsTitle#14,bsnsTitle#15,bsnsTitle#16,bsnsTitle#17,bsnsTitle#18,bsnsTitle#19,bsnsTitle#20,bsnsTitle#21,bsnsTitle#22,bsnsTitle#23,bsnsTitle#24,bsnsTitle#25,bsnsTitle#26,bsnsTitle#27,bsnsTitle#28,bsnsTitle#29,bsnsTitle#30,bsnsTitle#31,bsnsTitle#32,bsnsTitle#33,bsnsTitle#34,bsnsTitle#35,bsnsTitle#36,bsnsTitle#37,bsnsTitle#38,bsnsTitle#39,bsnsTitle#40
과학기술정보통신부,한국연구재단,NR_2024_015,2024-01-23,2024-01-25 ~ 2024-01-31,2024년 과학기술인 협동조합 육성ㆍ지원사업( ‘과학기술인 협동조합 활성화지원’),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=003993,09/24년도 과학기술인 협동조합 육성?지원사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2024-0059호 ,2024-01-29,2024-01-29 ~ 2024-02-29,「양자정보과학 인적기반 조성」사업 2024년도 신규과제 공고(2차),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=003996,"09l/?양자정보과학 인적기반 조성? 사업
2024년도 신규과제",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정안전부,국립재난안전연구원,제2024-141호,2024-02-02,2024-02-08 ~ 2024-03-07,2024년 재난안전 공동연구 기술개발 사업 신규과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=003997,07A/재난 전개 양상 디지털화 및 잠재재난 시나리오 제작 지원 시스템 개발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2024-458호,2024-03-06,2024-03-06 ~ 2024-03-15,2024년도 국제표준기반 지상파-위성 통합 VDES 체계 기술개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=003998,06l/VDES 시스템 국산화 및 통신기술 개발,05l/해상무선통신기반 서비스 기술개발,12l/VDES 국제공동개발 및 협력 실증,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농촌진흥청,농촌진흥청,제2024-22호,2024-01-31,2024-01-31 ~ 2024-02-06,2024년 농약직권등록사업 신규과제 재공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004001,99j/자몽 검은점 무늬병 등 방제용 농약의 직권등록시험 83항목,99j/퀴노아 노균병 등 방제용 농약의 직권 등록시험 81항목,99j/귀리 도열병 등 방제용 농약의 직권등록시험 83항목,99j/겨자채 배추좀나방 등 방제용 농약의 직권등록시험 227항목,99j/잔대(사삼)점 무늬병 등 방제용 농약의 직권등록시험 226항목,99j/케일 배추좀나방 등 방제용농약의 직권등록시험 226항목,99j/오크라 잿빛곰팡이병 등 방제용농약의 직권등록시험 226항목,99j/농약직권 등록시험의 진도 컨설팅 및 방제 매뉴얼?적정살포 물량개발,99j/농약직권등록시험의 현장 점검 평가 및 긴급시험,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정안전부,한국산업기술기획평가원,행정안전부 공고 제2024-128호,2024-01-31,2024-02-06 ~ 2024-03-05,2024년도 재난안전 부처협력 기술개발 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004002,05m/물류시설 특성을 반영한 지능형 화재탐지 및 스프링클러설비 기술개발,06n/재난관리를 위한 맞춤형 정보생성 및 의사결정지원 대화형 인공지능 기술개발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보건복지부,한국보건산업진흥원,백신실용화기술개발사업단 공고 제2024-002호,2024-01-29,2024-01-29 ~ 2024-02-07,2024년도 제1차 백신실용화기술개발사업단 신규지원 대상과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004003,05d/필수예방접종자급화,12d/미래대응·미해결,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보건복지부,한국보건산업진흥원,정신건강연구개발사업단 공고 제2024-001호,2024-02-01,2024-02-19 ~ 2024-03-06,2024년 제1차 마약·자살 등 정신건강관련 사회문제대응 기술연구(R&amp;D) 신규지원 대상과제 공고('수정 24.2.5.),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004013,한국형 마약류 사용장애 표준진료지침 개발 및 정신사회치료프로그램 개발,마약류 사용장애 치료를 위한 비침습적 의료기기 개발,물질중독 고위험군(마약포함) 선별도구 및 조기개입 기술개발,청소년?청년 자살·자해 중재프로그램 개발 및 생물학적 효과검증,,청소년 비자살적 자해 평가도구 개발 및 장기추적조사연구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2024-061호,2024-01-29,2024-02-13 ~ 2024-02-27,2024년도 반도체분야 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004014,"01p,04p/화합물전력반도체고도화기술개발",05p/시장선도를위한한국주도형K-Sensor기술개발,"02p,설계p/차세대지능형 반도체기술개발 (설계,제조)",09p/민관공동투자반도체고급인력양성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2024-206호,2024-01-31,2024-01-31 ~ 2024-03-04,2024년도 천해용 수중 모빌리티 기술 개발사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004015,05h/천해용 수중 모빌리티 기술 개발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보건복지부,한국보건산업진흥원,보건복지부공고 제2024-98호,2024-02-08,2024-02-08 ~ 2024-02-19,2024년도 제1차 보건의료기술 연구개발사업 신규지원 대상과제 통합 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004016,12d/미해결치료제도전기술개발,12d/글로벌혁신의료기술실증지원센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2024-183호,2024-01-29,2024-01-30 ~ 2024-02-29,2024년도 해양위험유해물질(HNS) 배출 등 관리기술 개발사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004017,05w/해양환경 잔류성오염물질 관리기술개발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경찰청,과학치안진흥센터,"경찰청 공고 제2024-18호, 행정안전부 공고 제2024-126호",2024-01-29,2024-02-12 ~ 2024-02-28,2024년도 과학기술기반 군중밀집관리 기술 개발 사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004018,06m/과학기술기반 군중밀집관리기술 개발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정안전부,한국산업기술기획평가원,행정안전부 공고 제2024-143호,2024-01-31,2024-02-06 ~ 2024-03-05,2024년 국민수요맞춤형 생활안전 연구개발(2단계) 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정안전부,한국산업기술기획평가원,행정안전부 공고 제2024-144호,2024-01-31,2024-01-31 ~ 2024-02-01,2024년 AI기반 안전신고 정보의 과학적 분석 서비스 기술개발 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경찰청,과학치안진흥센터,"경찰청 공고 제2024-19호, 관세청 공고 제2024-05호",2024-01-29,2024-02-12 ~ 2024-02-28,2024년도 불법 마약류 대응을 위한 현장기술 개발사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2024-116호,2024-02-15,2024-03-04 ~ 2024-03-18,2024년도 중소기업기술혁신개발사업 '시장대응형(일반)' 제1차 시행계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,과학기술사업화진흥원,과학기술정보통신부 공고 제2024-0083호,2024-02-05,2024-03-04 ~ 2024-03-15,2024년도 대학기술경영촉진사업 신규과제(IP스타과학자 지원형) 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2024-174호,2024-01-30,2024-01-30 ~ 2024-02-29,2024년도 CO2 수송-주입 복합기능선박 기술개발 사업 신규과제 선정계획 공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양경찰청,과학기술사업화진흥원,해양경찰청 공고 제2024-13호,2024-01-29,2024-02-26 ~ 2024-03-05,2024년 해양경찰 현장 맞춤형 연구개발(오션랩 2.0)사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2024-115호,2024-02-08,2024-02-15 ~ 2024-06-30,2024년도 소재부품기술개발(이종기술융합형) 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,공고-국-제01호,2024-01-30,2024-02-08 ~ 2024-03-05,2024년 그린 해상교량 기술개발 사업 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기획재정부,국토교통과학기술진흥원,공고-국-제02호,2024-01-30,2024-02-08 ~ 2024-03-05,2024년 탄소공간지도기반 계획지원 기술개발 사업 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"국토교통부,기상청",한국기상산업기술원,24-Jul,2024-01-31,2024-02-07 ~ 2024-03-04,2024년도 한국형 도심항공교통(K-UAM) 안전운용체계 핵심기술개발 사업 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경찰청,과학치안진흥센터,경찰청 공고 제2024-21호,2024-01-30,2024-02-13 ~ 2024-02-29,2024년도 경찰청 소관 자율주행기술개발혁신사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정안전부,한국산업기술기획평가원,행정안전부 공고 제2024-147호,2024-01-31,2024-02-06 ~ 2024-03-05,2024년도 지역맞춤형 재난안전 문제해결 기술개발 지원(2단계) 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부  공고 제2024-209호,2024-01-31,2024-01-31 ~ 2024-03-04,2024년도 해양수산 과학기술 국제협력 고도화 사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2024_016,2024-02-05,2024-02-05 ~ 2024-02-13,2024년도 원자력국제협력기반조성사업 신규과제 접수(정책지정),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행정안전부,한국산업기술기획평가원,행정안전부 공고 제2024-176호,2024-02-01,2024-02-06 ~ 2024-03-07,2024년도 재난안전산업 기술사업화 지원 사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보건복지부,한국보건산업진흥원,보건복지부공고 제2024-74호,2024-01-30,2024-02-15 ~ 2024-05-09,2024년도 글로벌 의사과학자 양성사업 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2024-0062호,2024-01-30,2024-02-14 ~ 2024-02-29,2024년도 PIM인공지능반도체핵심기술개발(소자)사업(신개념PIM기초) 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,해당없음(정책지정),2024-01-01,2024-01-01 ~ 2024-01-31,2024년 정보통신방송표준개발지원사업 표준화기반구축및확산 내역사업 신규과제(정책지정) 대상 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2024 - 0060호,2024-01-30,2024-02-14 ~ 2024-02-29,2024년도 차세대지능형반도체기술개발(소자)사업(신개념기초기술) 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2024 - 0061호,2024-01-30,2024-02-14 ~ 2024-02-29,2024년도 차세대지능형반도체기술개발(소자)사업(신소자원천) 신규과제 공모(240206 수정),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술진흥원,산업통상자원부 공고 제2024-074호,2024-01-31,2024-01-31 ~ 2024-02-29,2024년 연구기관 기술이전 및 성과관리 지원사업 통합 시행계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2024-157호,2024-02-19,2024-03-04 ~ 2024-03-19,2024년도 전자부품산업기술개발사업 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2024-77호,2024-01-31,2024-02-14 ~ 2024-03-04,2024년도 자동차 분야 신규지원 대상과제 통합 공고(1차),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2024-114호,2024-02-15,2024-04-16 ~ 2024-04-26,2024년도 창업성장기술개발사업 디딤돌(첫걸음_기획지원연계) 제1차 시행계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,공고-국-제03호,2024-01-31,2024-02-07 ~ 2024-03-04,(공고-국-제03호) 2024년 초장대 K-지하고속도로 인프라 안전 및 효율 향상 기술 개발 사업 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,공고-국-제05호,2024-01-31,2024-02-07 ~ 2024-03-04,(공고-국-제05호)  2024년 협력거점형 국토교통 국제협력 연구개발사업(선도기술탐색형) 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,공고-국-제06호,2024-01-31,2024-02-07 ~ 2024-03-04,(공고-국-제06호) 2024년 협력거점형 국토교통 국제협력 연구개발사업(한-영 양자협력형) 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,공고-국-제04호,2024-01-31,2024-02-07 ~ 2024-03-04,(공고-국-제04호) 2024년 내구연한 도래 노후 디젤기관차 대체를 위한 친환경 수소전기기관차 기술개발 사업 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,국-제08호,2024-01-31,2024-02-07 ~ 2024-03-04,(공고-국-제08호) 2024년 한국형 도심항공교통(K-UAM) 안전운용체계 핵심기술개발 사업 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,해당없음(정책지정),2024-02-01,2024-02-01 ~ 2024-02-29,2024년도 ICT미래시장최적화협업기술개발사업 정책지정 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,공고-국-제07호,2024-01-31,2024-02-07 ~ 2024-03-04,(공고-국-제07호) 2024년 협력거점형 국토교통 국제협력 연구개발 사업(협력거점 구축) 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보건복지부,한국보건산업진흥원,KH_2024_005,2024-02-08,2024-02-08 ~ 2024-02-20,국가전략기술 특화연구소(첨단바이오 디지털 헬스데이터 분석·활용),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=004071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
